Date,Adj Close,Date,Adj Close
5/21/2012,2847.209961,5/21/2012,16.700001
5/22/2012,2839.080078,5/22/2012,16.629999
5/23/2012,2850.120117,5/23/2012,16.889999
5/24/2012,2839.379883,5/24/2012,15.55
5/25/2012,2837.530029,5/25/2012,14.35
5/29/2012,2870.98999,5/29/2012,14.25
5/30/2012,2837.360107,5/30/2012,13.57
5/31/2012,2827.340088,5/31/2012,13.25
6/1/2012,2747.47998,6/1/2012,12.6
6/4/2012,2760.01001,6/4/2012,13
6/5/2012,2778.110107,6/5/2012,15.77
6/6/2012,2844.719971,6/6/2012,15.01
6/7/2012,2831.02002,6/7/2012,15.08
6/8/2012,2858.419922,6/8/2012,15.1
6/11/2012,2809.72998,6/11/2012,14.77
6/12/2012,2843.070068,6/12/2012,14.7
6/13/2012,2818.610107,6/13/2012,14.5
6/14/2012,2836.330078,6/14/2012,14.59
6/15/2012,2872.800049,6/15/2012,16.09
6/18/2012,2895.330078,6/18/2012,15.52
6/19/2012,2929.76001,6/19/2012,15.76
6/20/2012,2930.449951,6/20/2012,15.96
6/21/2012,2859.090088,6/21/2012,16.07
6/22/2012,2892.419922,6/22/2012,16
6/25/2012,2836.159912,6/25/2012,16
6/26/2012,2854.060059,6/26/2012,15.98
6/27/2012,2875.320068,6/27/2012,16.08
6/28/2012,2849.48999,6/28/2012,15.86
6/29/2012,2935.050049,6/29/2012,16.43
7/2/2012,2951.22998,7/2/2012,14.64
7/3/2012,2976.080078,7/3/2012,14.86
7/5/2012,2976.120117,7/5/2012,14.75
7/6/2012,2937.330078,7/6/2012,14.53
7/9/2012,2931.77002,7/9/2012,14.55
7/10/2012,2902.330078,7/10/2012,14.06
7/11/2012,2887.97998,7/11/2012,14.09
7/12/2012,2866.189941,7/12/2012,14.1
7/13/2012,2908.469971,7/13/2012,13.98
7/16/2012,2896.939941,7/16/2012,13.96
7/17/2012,2910.040039,7/17/2012,13.93
7/18/2012,2942.600098,7/18/2012,14.06
7/19/2012,2965.899902,7/19/2012,14.46
7/20/2012,2925.300049,7/20/2012,14.34
7/23/2012,2890.149902,7/23/2012,14.32
7/24/2012,2862.98999,7/24/2012,14.3
7/25/2012,2854.23999,7/25/2012,14.19
7/26/2012,2893.25,7/26/2012,15.13
7/27/2012,2958.090088,7/27/2012,16.1
7/30/2012,2945.840088,7/30/2012,16.129999
7/31/2012,2939.52002,7/31/2012,16.58
8/1/2012,2920.209961,8/1/2012,16.09
8/2/2012,2909.77002,8/2/2012,16.33
8/3/2012,2967.899902,8/3/2012,16.17
8/6/2012,2989.909912,8/6/2012,17.1
8/7/2012,3015.860107,8/7/2012,17.4
8/8/2012,3011.25,8/8/2012,17.559999
8/9/2012,3018.639893,8/9/2012,17.110001
8/10/2012,3020.860107,8/10/2012,17.27
8/13/2012,3022.52002,8/13/2012,17.16
8/14/2012,3016.97998,8/14/2012,16.91
8/15/2012,3030.929932,8/15/2012,16.940001
8/16/2012,3062.389893,8/16/2012,17.01
8/17/2012,3076.590088,8/17/2012,16.93
8/20/2012,3076.209961,8/20/2012,16.27
8/21/2012,3067.26001,8/21/2012,16.049999
8/22/2012,3073.669922,8/22/2012,15.57
8/23/2012,3053.399902,8/23/2012,15.82
8/24/2012,3069.790039,8/24/2012,15.32
8/27/2012,3073.189941,8/27/2012,14.75
8/28/2012,3077.139893,8/28/2012,14.3
8/29/2012,3081.189941,8/29/2012,14
8/30/2012,3048.709961,8/30/2012,14.43
8/31/2012,3066.959961,8/31/2012,14.29
9/4/2012,3075.060059,9/4/2012,14.46
9/5/2012,3069.27002,9/5/2012,15.19
9/6/2012,3135.810059,9/6/2012,15.47
9/7/2012,3136.419922,9/7/2012,15.87
9/10/2012,3104.02002,9/10/2012,15.72
9/11/2012,3104.530029,9/11/2012,15.64
9/12/2012,3114.310059,9/12/2012,15.54
9/13/2012,3155.830078,9/13/2012,15.6
9/14/2012,3183.949951,9/14/2012,16.969999
9/17/2012,3178.669922,9/17/2012,16.290001
9/18/2012,3177.800049,9/18/2012,16.690001
9/19/2012,3182.620117,9/19/2012,17.360001
9/20/2012,3175.959961,9/20/2012,17.16
9/21/2012,3179.959961,9/21/2012,16.66
9/24/2012,3160.780029,9/24/2012,18
9/25/2012,3117.72998,9/25/2012,18.030001
9/26/2012,3093.699951,9/26/2012,17.01
9/27/2012,3136.600098,9/27/2012,17.16
9/28/2012,3116.22998,9/28/2012,17.030001
10/1/2012,3113.530029,10/1/2012,17.25
10/2/2012,3120.040039,10/2/2012,17.43
10/3/2012,3135.22998,10/3/2012,16.84
10/4/2012,3149.459961,10/4/2012,17.030001
10/5/2012,3136.189941,10/5/2012,16.639999
10/8/2012,3112.350098,10/8/2012,16.780001
10/9/2012,3065.02002,10/9/2012,16.98
10/10/2012,3051.780029,10/10/2012,16.459999
10/11/2012,3049.409912,10/11/2012,16.860001
10/12/2012,3044.110107,10/12/2012,16.879999
10/15/2012,3064.179932,10/15/2012,16.790001
10/16/2012,3101.169922,10/16/2012,16.469999
10/17/2012,3104.120117,10/17/2012,16.9
10/18/2012,3072.870117,10/18/2012,16.200001
10/19/2012,3005.620117,10/19/2012,14.8
10/22/2012,3016.959961,10/22/2012,14.72
10/23/2012,2990.459961,10/23/2012,14.86
10/24/2012,2981.699951,10/24/2012,14.86
10/25/2012,2986.120117,10/25/2012,15.01
10/26/2012,2987.949951,10/26/2012,15.35
10/31/2012,2977.22998,10/31/2012,15.55
11/1/2012,3020.060059,11/1/2012,16.5
11/2/2012,2982.129883,11/2/2012,16.120001
11/5/2012,2999.659912,11/5/2012,15.2
